#                                                                          running time (s)                 
#                                                                   -------------------------------          
# idx  seq name  length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ---  --------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
  320  416269      1542        1     1430     no   1816.68       -       1.22       0.24       2.07     37.73
  321  416348      1469        6     1427  5'&3'   1221.71       -       1.13       0.56       2.26     38.50
  322  416591      1555        1     1430     no   1793.90       -       1.08       0.23       1.90     37.98
  323  416870      1547        1     1430     no   1866.04       -       1.14       0.24       1.98     37.72
  324  419610      1485        1     1430     no   1835.80       -       1.14       0.24       1.96     36.31
  325  420336      1528        1     1430     no   1817.79       -       1.20       0.25       2.05     37.40
  326  420662      1531        1     1430     no   1833.09       -       1.20       0.25       2.05     37.36
  327  426114      1529        1     1430     no   1838.02       -       1.14       0.19       1.93     37.33
  328  429009      1580        1     1430     no   1868.04       -       1.32       0.26       2.19     38.47
  329  431943      1511        1     1430     no   1834.73       -       1.13       0.21       1.93     36.95
  330  434131      1497        1     1430     no   1757.13       -       1.09       0.24       1.91     36.78
  331  436308      1470        6     1427  5'&3'   1162.78       -       1.23       0.55       2.35     38.77
